"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"7153",1630.87496458507,7.56538259464575,0.366667369662052,20.6328220632738,1.39279952488178e-94,4.96672310572841e-90,"TOP2A"
"63901",509.182090884379,2.94395850974631,0.143116174209943,20.5704108986851,5.05360559612184e-94,9.01057877788525e-90,"FAM111A"
"3009",979.975533610569,7.31332854723523,0.370141980660279,19.7581709974895,6.82326882207879e-87,8.11059220651099e-83,"H1-5"
"3371",9853.59751694336,6.25728768497924,0.31783593178768,19.6871626495623,2.77821773389034e-86,2.47678110976324e-82,"TNC"
"56970",699.066842592394,-1.91677391478101,0.0989395110261705,-19.3731896883339,1.2995200567484e-83,9.26817704472957e-80,"ATXN7L3"
"4288",990.015709568843,6.28329243006963,0.324649175977292,19.3540994248793,1.8825604224055e-83,1.11886841104967e-79,"MKI67"
"10763",4707.31818273375,4.28293452279872,0.224376073742735,19.0881962205536,3.16510931813378e-81,1.41084747855813e-77,"NES"
"10645",969.74407764264,-2.91333135266891,0.152599869504654,-19.0913095936826,2.98199298134131e-81,1.41084747855813e-77,"CAMKK2"
"2149",757.626755430862,4.85132282630689,0.255274101121326,19.0043674818432,1.56926235785485e-80,6.21776618678933e-77,"F2R"
"105369758",52.4019580807724,-2.2939715998288,0.120784278034651,-18.9923029483249,1.97475291712431e-80,7.04196890246529e-77,"DDN-AS1"
"29128",535.23758768345,4.87093562367389,0.263540777348191,18.4826639455434,2.8476754780718e-76,9.23164614073093e-73,"UHRF1"
"64771",954.385293389196,-1.46982808336292,0.0801278830392108,-18.3435282153112,3.71861008531219e-75,1.10504696368527e-71,"ILRUN"
"84441",1622.99965476216,2.63724344057031,0.144149224397367,18.2952315671182,9.03165383409871e-75,2.47745212095354e-71,"MAML2"
"22853",1384.71828406548,-2.28580313112256,0.125529676356857,-18.2092649121826,4.35758150261367e-74,1.10993825988003e-70,"LMTK2"
"85461",1858.94690141874,2.36001801092414,0.130936433490614,18.0241507119812,1.25930945017687e-72,2.99379833288715e-69,"TANC1"
"8358",634.738198790462,7.10359984784888,0.395439628542345,17.9638036633655,3.74259891560282e-72,8.34131733314978e-69,"H3C2"
"375035",1770.88704783278,2.0829397558013,0.116025214256949,17.9524749783132,4.5898592419415e-72,9.62790473927258e-69,"SFT2D2"
"9665",1375.9213807408,-1.2689169930477,0.0708557507827732,-17.9084545577379,1.01309589837153e-71,2.00705554088494e-68,"MARF1"
"5170",963.289442859208,-1.2376204158464,0.0695476008087932,-17.7952999306041,7.68547959472107e-71,1.44244317025133e-67,"PDPK1"
